CoVIC ID,Isotype,Epitope Community (RBD),ADCP,mADCP,ADNP,mADNP,ADCD,ADNKA_CD107a,ADNKA_MIP-1b,FcgR2aR,FcgR3aV,FcgR2b,FcgR3b,FcRn,mFcR2b,mFcR3,mFcR4,(0.5 mg/mL) % survival,(1.5 mg/mL) % survival,IC50_WA1 (ng/mL),IC80_WA1 (ng/mL),IC50_UTMB (ng/mL),IC80_UTMB (ng/mL),IC90_UTMB (ng/mL),neut_cluster
7,IgG1,6.0,-0.9729700211778856,-0.05806003394967351,-0.5264421825194429,1.0314106488815502,0.3400400635359947,-0.09946989216635042,0.3640920858772581,0.3316819268445002,0.299248395510791,-0.3277945528161167,-0.8015043295016321,-1.6060816404331233,-0.5810068330690246,-0.623868191240513,-0.23177759546664178,10.0,,0.2360592275245236,0.023295527710235454,2.1995721945617484,1.9440340124978701,1.7553941797015862,2
9,IgG1,2.0,0.839410548943691,1.7401359938183292,0.45708365417832525,1.2969297010385483,1.3543382452600259,-0.005490414505751513,0.5148832807388426,0.9819884620296745,0.9517635704749653,1.1623513849964615,1.1221155872509219,1.1736102254316074,1.983253105040717,2.1376597973270273,1.365777504394561,10.0,,-1.1728822097601048,-1.434116211663087,-1.3805822992073151,-1.4462843057451698,-1.4552344387676173,3
10,IgG1,2.0,-0.9623188036388164,-0.5265338814497521,-0.6130651080104113,1.1718623083859554,-0.14925983708804405,0.023625030298999792,0.12200224469592327,-0.12066789636490918,0.14550372517528742,-0.9846709602817356,-0.8572180243627331,-1.5541378430923307,-0.5801516077061488,-1.2344846460183014,-0.7511589553022163,10.0,,-1.1728822097601048,-1.2157588580691343,-1.0066271422579958,-1.0493455270204561,-1.0528106628898488,3
11,IgG1,2.0,-0.27507941488000814,-0.6387948227932495,-0.45400896188845374,0.8242461465554557,-0.2673194667842417,0.1551100248182238,-0.05421770230136823,0.6305908710892651,0.8045381987658011,0.09263262969463047,-0.4587320156989803,-0.06618693584750925,-0.5795567315333205,-0.9874756914087642,-0.4343352120124712,10.0,,-1.1728822097601048,-1.2414756718827644,-0.8345229874832086,-0.9731210329498594,-1.0358011391575008,3
12,IgG1,2.0,-0.7609388711123836,-1.0072133299696793,-0.6214717995708856,0.0626219841662647,-0.17240356777551827,-0.08971087604144942,0.08043110539118797,0.2565688200792062,0.38574313116730863,-0.53571038986066,-0.7098961527634795,-0.6290465407246247,-0.5799981142311172,-0.9322590867085339,-0.6853800726138376,30.0,,-1.1728822097601048,-1.619539207996062,-1.138087448689887,-1.2305718483287271,-1.2588558497518512,3
13,IgG1,2.0,-0.8457862928047816,-1.1427014890220133,-0.6227675756356276,-0.03304869892141009,-0.04672863853115767,0.15473339753553803,-0.03814280548163293,-1.32403886086065,-1.2864160804898528,-1.3518841319882948,-0.8802962564946394,-1.6247867340469393,-0.5828645405070066,-0.8398804469121801,-0.9230532110686204,70.0,,-1.1728822097601048,-1.2733505514932448,-1.3875744304948103,-1.5312778305536936,-1.5853701135079792,3
20,IgG1,,-1.0182151083547266,-0.6847590572477661,-0.6480268734951614,-0.04707770357720519,-0.2665677434870992,0.01110552359077619,-0.8877777949039429,-1.3227343846810566,-1.28663093973085,-1.35274398894147,-0.6683977164484924,-1.6198797069977418,-0.5826536627886404,-0.6979049565513772,-0.8904115631136142,0.0,,1.1358182880386858,1.7970438206540544,1.2504146938125984,1.5312848172026579,1.665724837031402,2
21,IgG1,7.0,0.4994994263010409,-0.6171340697484643,-0.11179317797525268,-0.621496971355643,0.11136416565924523,0.0734261806271386,-0.2641054975424575,0.9668663169296381,0.9462923395519073,1.1564565292033961,1.0061889473935142,0.6672933188725871,0.5084034062253222,0.3901888517087244,0.9167999127666481,0.0,0.0,2.3922456335447255,2.307749381045447,2.104055983274672,2.08466110147118,2.031511853328493,2
23,IgG1,5.0,-1.03121204280575,-0.8558627961374288,-0.639119049208082,-0.3877988265273505,-0.3564539255183683,0.062299284314024594,-0.343748844061825,-1.3336079739058666,-1.2864434430790397,-1.3545156291836922,-0.8806190264561781,-1.6254455827408305,-0.5841061481649676,-3.1643225966316373,-0.9097013703121032,,0.0,2.7660732132215697,2.3728067210825534,2.1995721945617484,1.9440340124978701,1.7553941797015862,2
28,IgG1,6.0,-1.0133723816817735,-0.6031334965494769,-0.6856360045544868,-0.7279097037905566,-0.41547699049747777,-0.09897425330413483,-0.5536926601142999,-1.332743994142135,-1.2866263787478753,-1.3529571367692093,-0.8806879287210746,-1.620880622665127,-0.5847100911030481,-2.7989119717463935,-1.0014682389112628,0.0,0.0,1.0600157815286348,1.1596441646561186,1.33764465922858,1.2315997613605059,1.144498507515607,2
